SeniorCitizen,tenure,MonthlyCharges,TotalCharges,ChargeVelocity,gender_1,Partner_1,Dependents_1,PhoneService_1,MultipleLines_1,InternetService_DSL,InternetService_Fiber optic,OnlineSecurity_1,OnlineBackup_1,DeviceProtection_1,TechSupport_1,StreamingTV_1,StreamingMovies_1,Contract_One year,Contract_Two year,PaperlessBilling_1,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,1,29.85,29.85,0.9675850891410048,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,34,56.95,1889.5,0.03012430573922243,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False
0,2,53.85,108.15,0.4933577645442052,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,True
0,45,42.3,1840.75,0.022967286548119994,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False
0,2,70.7,151.65,0.46315099901735995,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
0,8,99.65,820.5,0.12130249543517956,False,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True
0,22,89.1,1949.4,0.04568293683347005,True,False,True,True,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False
0,10,29.75,301.9,0.09821723341036646,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,28,104.8,3046.05,0.03439392199012159,False,True,False,True,True,False,True,False,False,True,True,True,True,False,False,True,False,True,False,True
0,62,56.15,3487.95,0.01609366714914229,True,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
0,13,49.95,587.45,0.0848840173336732,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
0,16,18.95,326.8,0.05780964002440512,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
0,58,100.35,5681.1,0.017660724028088205,True,True,False,True,True,False,True,False,False,True,False,True,True,True,False,False,True,False,False,False
0,49,103.7,5036.3,0.020586425267504416,True,False,False,True,True,False,True,False,True,True,False,True,True,False,False,True,False,False,False,True
0,25,105.5,2686.05,0.03926238812080162,True,False,False,True,False,False,True,True,False,True,True,True,True,False,False,True,False,True,False,False
0,69,113.25,7895.15,0.014342432704545887,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,False,False
0,52,20.65,1022.95,0.020167000341813564,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0,71,106.7,7382.25,0.01445163037957539,True,False,True,True,True,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False
0,10,55.2,528.35,0.10427883253046188,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True
0,21,90.05,1862.9,0.04831267771876173,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False
1,1,39.65,39.65,0.97539975399754,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True
0,12,19.8,202.25,0.0974169741697417,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,20.15,20.15,0.9527186761229315,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
